,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,researcher,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,lattes_10_id,event_organization,participation_event,first_doc
0,d118533f-2675-4d5d-a837-9ebd279cc64e,,,,4,1,,1,1,3,,1,1,,,2,3,Jairo Carvalho Do Nascimento,Doutorado,,,4,3,,,,16,,,K4777412P7,16,13,2015.0
1,8ef83742-341c-4d5a-8c1a-123873587af6,,,,1,,,,,1,,,,,,6,,Natália Maria Reis Oliveira Furtado,Doutorado,,,,,,,,1,,,K4227713H4,1,2,2003.0
2,2f378691-ec61-416e-a316-71e3695aeb89,,,,2,,,,,,,,,,,,,Iranice Carvalho Da Silva,Doutorado,,3,,,,,,1,,,K4706033A0,5,4,2010.0
3,24e30612-fee2-4f4a-ad0f-1c2affe70f3a,,7,,,,,,,,,,,,,4,12,Antonio Augusto Teixeira Ribeiro Coutinho,Mestrado,3,7,,,,,,11,,,K4763285H0,,6,
4,2157c644-9524-40b4-b7f6-bd87dd8d7793,1,,,1,18,12,2,2,3,3,,1,,,2,46,Cleber Galvão Novaes,Doutorado,1,18,1,11,,2,,8,,,K4737356Z3,11,21,2011.0
5,9c11b1b5-1c8f-4216-8cc4-99b2fe7acec0,1,,,,1,2,,1,,,,,1,,,,Jamile Gomes Conceição,Doutorado,,,,,,,,,,,K4242356D7,2,7,2021.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.0
8,2b601b8a-cfbb-4bfd-9e52-5919280c3747,,,,2,3,3,,2,2,,5,2,4,,,15,Sérgio Augusto De Albuquerque Fernandes,Pós-Doutorado,2,21,3,14,3,,,,,1,K4792392Y1,2,8,2004.0
9,907e769e-4b95-4c84-afd8-e335bff4ea80,,,,1,,,,,,1,,,,,,1,Edilma Cotrim Da Silva,Mestrado,,,,,,,,,,,K4776660A9,1,,
10,daec4413-d4a8-49e4-ad99-1bae2d98981d,,,,,2,7,4,4,2,,,7,2,,,26,Vanessa Santos Sampaio,Doutorado,2,7,,,,,,,,12,K4239967H4,,,2019.0
11,9a72d7a8-baf1-4816-ab13-ab87a609f452,,,,1,2,2,,1,1,,,1,5,2,2,17,Ana Paula Melo Mariano,Doutorado,3,9,,,,,,2,,5,K4126031D6,2,3,2014.0
12,c2199972-05ca-4782-8124-a043370d0f5b,,,,25,5,9,9,20,16,10,10,3,24,10,39,39,Carlos Alberto Batista Dos Santos,Doutorado,,13,2,13,5,8,,10,,2,K4778668U7,4,74,2016.0
13,69c5548a-594d-41e7-9a0d-0dfebd4b3033,,,,,,,,,,1,,1,2,,9,8,Fábio De Oliveira,Mestrado,,6,,,,,,15,,,K4718462E3,13,32,
14,84f63e52-e7f4-4efc-837b-12ee8e972343,,,,5,,3,,,1,1,,,,,7,3,Iury Parente Aragão,Doutorado,,,,,,,,8,,,K4231360T6,7,32,2017.0
