,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
0,c2199972-05ca-4782-8124-a043370d0f5b,,,,27,6,11,10,27,20,12,11,3,24,10,45,65,Doutorado,,17,2,13,8,8,,22,,9,142,Carlos Alberto Batista dos Santos,2016,UNEB,57.565,2012,2012,2009,2002,,,2003.0,
1,e42f02a1-bdd0-48cb-ba3e-d9c304f968e6,,,,,,,,4,5,8,,4,1,7,1,32,Doutorado,,8,,4,3,1,,26,,,53,Fernando Alzamora Filho,2013,UESC,8.46,,2020,2000,1996,2002,,2004.0,
2,d40c6bc3-4cec-481c-a959-1b7d0d7484ce,1,21,,12,27,12,5,17,11,12,5,5,1,9,31,166,Pós-Doutorado,,2,,33,9,30,,9,,5,82,Hernane Borges de Barros Pereira,2002,UNEB,63.69,2004,2005,2000,1999,2011,2012,1994.0,1995.0
3,267d8921-12e2-488c-998a-e23b51e2adaf,,,,,1,,,7,,3,,,,1,6,15,Doutorado,2,4,,,,,,12,,,30,Juliana de Orione Arraes Fagundes,2018,UESC,6.484999999999999,,2017,2014,1988,2022,,2010.0,
4,b8d0eaae-8b27-41b1-af59-b65dd9475b34,,,,,,1,1,3,3,,,,,4,3,34,Doutorado,,,,,,,,13,,,17,Maria de Fátima Barbosa Góes,2021,UNEB,5.0,,1996,2003,1999,2001,,1999.0,
5,a75f300c-d812-459d-8e5a-f03648b8f7d1,,,,2,,,,,,2,,2,,,3,1,Mestrado,,,,,,,,29,,,14,Ana Paula Cardoso Batista Paes Leme,None,UNEB,0.99,2020,2021,2003,2012,2012,,1999.0,
6,fd0485ca-ecd9-4137-bab3-0d7186dc989d,1,,,,6,5,5,3,5,7,1,2,1,2,4,62,Pós-Doutorado,,10,3,8,1,4,,3,,,24,Bianca Mendes Maciel,2010,UESC,21.59,,2012,1998,1996,,2021,2006.0,
7,c6b9f8f7-6a27-49ea-90ff-3d5e9e26130a,,,,,,,,1,,,,,,2,5,22,Mestrado,,,,,,,,5,,,26,Alexandre Alves da Silva,None,UICL,0.625,,2015,2011,2012,2014,,2017.0,
8,92eeebbe-0881-455d-9f8d-b706d9664242,1,,,4,8,5,9,2,8,3,1,1,23,11,24,162,Doutorado,4,16,1,9,6,5,,15,,2,41,Matheus Ramalho de Lima,2012,UFSB,25.86,2013,2010,2006,2003,2009,2021,2006.0,
9,da6c0b7c-c52e-49be-b610-3c3712392815,,,,2,,,,1,,,1,2,,,8,138,Doutorado,,1,,,,,,1,,,68,Carolina Santos Barroso de Pinho,2015,UICL,1.125,2021,2007,2015,2006,2015,,2014.0,
